instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,hour_of_day,day_of_week,is_weekend,temp_actual,atemp_actual,hum_actual,windspeed_actual,weather_desc,season_desc,casual_ratio,time_category,season_weather,day_type,check_cnt
4561,2011-07-13,3,0,7,22,0,3,1,1,0.68,0.6364,0.83,0.194,48,136,184,2011,7,13,22,2,0,23.96,26.002399999999994,83.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.2608695652173913,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,184
4562,2011-07-13,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537,33,83,116,2011,7,13,23,2,0,23.020000000000003,24.0026,83.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.28448275862068967,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,116
4563,2011-07-14,3,0,7,0,0,4,1,1,0.66,0.6212,0.69,0.2985,14,32,46,2011,7,14,0,3,0,23.020000000000003,24.999200000000002,69.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.30434782608695654,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,46
4564,2011-07-14,3,0,7,1,0,4,1,1,0.66,0.6212,0.61,0.2537,4,21,25,2011,7,14,1,3,0,23.020000000000003,24.999200000000002,61.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.16,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,25
4565,2011-07-14,3,0,7,2,0,4,1,1,0.64,0.6212,0.57,0.2985,3,7,10,2011,7,14,2,3,0,22.080000000000002,24.999200000000002,56.99999999999999,19.999499999999998,Clear/Partly Cloudy,Fall,0.3,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,10
4566,2011-07-14,3,0,7,3,0,4,1,1,0.62,0.6212,0.57,0.2985,1,5,6,2011,7,14,3,3,0,21.14,24.999200000000002,56.99999999999999,19.999499999999998,Clear/Partly Cloudy,Fall,0.16666666666666666,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,6
4567,2011-07-14,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537,0,6,6,2011,7,14,4,3,0,21.14,24.999200000000002,53.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.0,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,6
4568,2011-07-14,3,0,7,5,0,4,1,1,0.6,0.6212,0.56,0.2239,6,22,28,2011,7,14,5,3,0,20.2,24.999200000000002,56.00000000000001,15.001299999999999,Clear/Partly Cloudy,Fall,0.21428571428571427,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,28
4569,2011-07-14,3,0,7,6,0,4,1,1,0.6,0.6061,0.6,0.2239,14,116,130,2011,7,14,6,3,0,20.2,24.0026,60.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.1076923076923077,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,130
4570,2011-07-14,3,0,7,7,0,4,1,1,0.62,0.6212,0.53,0.2537,23,311,334,2011,7,14,7,3,0,21.14,24.999200000000002,53.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.0688622754491018,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,334
4571,2011-07-14,3,0,7,8,0,4,1,1,0.64,0.6212,0.5,0.3582,53,433,486,2011,7,14,8,3,0,22.080000000000002,24.999200000000002,50.0,23.9994,Clear/Partly Cloudy,Fall,0.10905349794238683,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,486
4572,2011-07-14,3,0,7,9,0,4,1,1,0.68,0.6364,0.47,0.2836,29,195,224,2011,7,14,9,3,0,23.96,26.002399999999994,47.0,19.0012,Clear/Partly Cloudy,Fall,0.12946428571428573,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,224
4573,2011-07-14,3,0,7,10,0,4,1,1,0.7,0.6364,0.42,0.2537,32,95,127,2011,7,14,10,3,0,24.9,26.002399999999994,42.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.25196850393700787,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,127
4574,2011-07-14,3,0,7,11,0,4,1,1,0.72,0.6515,0.37,0.2239,38,110,148,2011,7,14,11,3,0,25.839999999999996,26.998999999999995,37.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.25675675675675674,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,148
4575,2011-07-14,3,0,7,12,0,4,1,1,0.74,0.6515,0.35,0.2537,51,172,223,2011,7,14,12,3,0,26.78,26.998999999999995,35.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.22869955156950672,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,223
4576,2011-07-14,3,0,7,13,0,4,1,1,0.76,0.6667,0.33,0.3284,39,138,177,2011,7,14,13,3,0,27.72,28.002199999999995,33.0,22.0028,Clear/Partly Cloudy,Fall,0.22033898305084745,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,177
4577,2011-07-14,3,0,7,14,0,4,1,1,0.74,0.6515,0.35,0.2836,49,129,178,2011,7,14,14,3,0,26.78,26.998999999999995,35.0,19.0012,Clear/Partly Cloudy,Fall,0.2752808988764045,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,178
4578,2011-07-14,3,0,7,15,0,4,1,1,0.76,0.6667,0.33,0.2985,42,138,180,2011,7,14,15,3,0,27.72,28.002199999999995,33.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.23333333333333334,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,180
4579,2011-07-14,3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,43,231,274,2011,7,14,16,3,0,27.72,28.002199999999995,33.0,8.9981,Clear/Partly Cloudy,Fall,0.15693430656934307,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,274
4580,2011-07-14,3,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,78,499,577,2011,7,14,17,3,0,26.78,26.998999999999995,37.0,8.9981,Clear/Partly Cloudy,Fall,0.13518197573656845,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,577
4581,2011-07-14,3,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194,94,484,578,2011,7,14,18,3,0,25.839999999999996,26.998999999999995,42.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.16262975778546712,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,578
4582,2011-07-14,3,0,7,19,0,4,1,1,0.72,0.6515,0.39,0.2239,67,333,400,2011,7,14,19,3,0,25.839999999999996,26.998999999999995,39.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.1675,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,400
4583,2011-07-14,3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,81,267,348,2011,7,14,20,3,0,24.9,26.002399999999994,42.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.23275862068965517,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,348
4584,2011-07-14,3,0,7,21,0,4,1,1,0.66,0.6212,0.5,0.1343,58,203,261,2011,7,14,21,3,0,23.020000000000003,24.999200000000002,50.0,8.9981,Clear/Partly Cloudy,Fall,0.2222222222222222,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,261
4585,2011-07-14,3,0,7,22,0,4,1,1,0.64,0.6212,0.57,0.0896,42,134,176,2011,7,14,22,3,0,22.080000000000002,24.999200000000002,56.99999999999999,6.0032,Clear/Partly Cloudy,Fall,0.23863636363636365,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,176
4586,2011-07-14,3,0,7,23,0,4,1,1,0.64,0.6061,0.65,0.2537,27,97,124,2011,7,14,23,3,0,22.080000000000002,24.0026,65.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.21774193548387097,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,124
4587,2011-07-15,3,0,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,23,57,80,2011,7,15,0,4,0,21.14,22.9994,73.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.2875,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,80
4588,2011-07-15,3,0,7,1,0,5,1,1,0.62,0.5909,0.73,0.194,7,13,20,2011,7,15,1,4,0,21.14,22.9994,73.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.35,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,20
4589,2011-07-15,3,0,7,2,0,5,1,1,0.6,0.5758,0.78,0.1642,16,22,38,2011,7,15,2,4,0,20.2,22.0028,78.0,11.0014,Clear/Partly Cloudy,Fall,0.42105263157894735,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,38
4590,2011-07-15,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194,1,6,7,2011,7,15,3,4,0,20.2,22.9994,73.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.14285714285714285,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,7
4591,2011-07-15,3,0,7,4,0,5,1,1,0.6,0.5909,0.73,0.1642,2,8,10,2011,7,15,4,4,0,20.2,22.9994,73.0,11.0014,Clear/Partly Cloudy,Fall,0.2,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,10
4592,2011-07-15,3,0,7,5,0,5,1,1,0.6,0.5909,0.73,0.1343,7,16,23,2011,7,15,5,4,0,20.2,22.9994,73.0,8.9981,Clear/Partly Cloudy,Fall,0.30434782608695654,Night (0-6),Fall - Clear/Partly Cloudy,Regular Working Day,23
4593,2011-07-15,3,0,7,6,0,5,1,2,0.6,0.5909,0.73,0.1045,12,108,120,2011,7,15,6,4,0,20.2,22.9994,73.0,7.0015,Misty/Cloudy,Fall,0.1,Night (0-6),Fall - Misty/Cloudy,Regular Working Day,120
4594,2011-07-15,3,0,7,7,0,5,1,1,0.64,0.6061,0.65,0.1045,17,257,274,2011,7,15,7,4,0,22.080000000000002,24.0026,65.0,7.0015,Clear/Partly Cloudy,Fall,0.06204379562043796,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,274
4595,2011-07-15,3,0,7,8,0,5,1,1,0.64,0.6061,0.65,0.2537,50,499,549,2011,7,15,8,4,0,22.080000000000002,24.0026,65.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.09107468123861566,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,549
4596,2011-07-15,3,0,7,9,0,5,1,1,0.68,0.6364,0.54,0.194,31,176,207,2011,7,15,9,4,0,23.96,26.002399999999994,54.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.1497584541062802,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,207
4597,2011-07-15,3,0,7,10,0,5,1,2,0.66,0.6212,0.61,0.1642,59,107,166,2011,7,15,10,4,0,23.020000000000003,24.999200000000002,61.0,11.0014,Misty/Cloudy,Fall,0.35542168674698793,Morning (6-12),Fall - Misty/Cloudy,Regular Working Day,166
4598,2011-07-15,3,0,7,11,0,5,1,1,0.7,0.6515,0.54,0.1343,73,137,210,2011,7,15,11,4,0,24.9,26.998999999999995,54.0,8.9981,Clear/Partly Cloudy,Fall,0.3476190476190476,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,210
4599,2011-07-15,3,0,7,12,0,5,1,1,0.7,0.6515,0.48,0.194,61,177,238,2011,7,15,12,4,0,24.9,26.998999999999995,48.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.25630252100840334,Morning (6-12),Fall - Clear/Partly Cloudy,Regular Working Day,238
4600,2011-07-15,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.194,85,162,247,2011,7,15,13,4,0,24.9,26.998999999999995,54.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.3441295546558704,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,247
4601,2011-07-15,3,0,7,14,0,5,1,1,0.7,0.6515,0.51,0.194,105,160,265,2011,7,15,14,4,0,24.9,26.998999999999995,51.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.39622641509433965,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,265
4602,2011-07-15,3,0,7,15,0,5,1,1,0.72,0.6515,0.45,0.1642,74,163,237,2011,7,15,15,4,0,25.839999999999996,26.998999999999995,45.0,11.0014,Clear/Partly Cloudy,Fall,0.31223628691983124,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,237
4603,2011-07-15,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194,96,265,361,2011,7,15,16,4,0,25.839999999999996,28.002199999999995,51.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.2659279778393352,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,361
4604,2011-07-15,3,0,7,17,0,5,1,1,0.74,0.6667,0.42,0.2537,104,483,587,2011,7,15,17,4,0,26.78,28.002199999999995,42.0,16.997899999999998,Clear/Partly Cloudy,Fall,0.17717206132879046,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,587
4605,2011-07-15,3,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,102,394,496,2011,7,15,18,4,0,25.839999999999996,26.998999999999995,45.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.2056451612903226,Afternoon (12-18),Fall - Clear/Partly Cloudy,Regular Working Day,496
4606,2011-07-15,3,0,7,19,0,5,1,1,0.7,0.6364,0.45,0.2239,114,280,394,2011,7,15,19,4,0,24.9,26.002399999999994,45.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.2893401015228426,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,394
4607,2011-07-15,3,0,7,20,0,5,1,1,0.7,0.6515,0.51,0.2239,92,251,343,2011,7,15,20,4,0,24.9,26.998999999999995,51.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.26822157434402333,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,343
4608,2011-07-15,3,0,7,21,0,5,1,1,0.66,0.6212,0.54,0.1045,75,186,261,2011,7,15,21,4,0,23.020000000000003,24.999200000000002,54.0,7.0015,Clear/Partly Cloudy,Fall,0.28735632183908044,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,261
4609,2011-07-15,3,0,7,22,0,5,1,1,0.66,0.6212,0.57,0.2239,71,152,223,2011,7,15,22,4,0,23.020000000000003,24.999200000000002,56.99999999999999,15.001299999999999,Clear/Partly Cloudy,Fall,0.3183856502242152,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,223
4610,2011-07-15,3,0,7,23,0,5,1,1,0.64,0.6212,0.61,0.1642,41,126,167,2011,7,15,23,4,0,22.080000000000002,24.999200000000002,61.0,11.0014,Clear/Partly Cloudy,Fall,0.24550898203592814,Evening (18-24),Fall - Clear/Partly Cloudy,Regular Working Day,167
4611,2011-07-16,3,0,7,0,0,6,0,1,0.62,0.6061,0.65,0.194,42,68,110,2011,7,16,0,5,1,21.14,24.0026,65.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.38181818181818183,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,110
4612,2011-07-16,3,0,7,1,0,6,0,1,0.6,0.5909,0.69,0.1045,24,51,75,2011,7,16,1,5,1,20.2,22.9994,69.0,7.0015,Clear/Partly Cloudy,Fall,0.32,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,75
4613,2011-07-16,3,0,7,2,0,6,0,1,0.6,0.5909,0.73,0.1343,10,48,58,2011,7,16,2,5,1,20.2,22.9994,73.0,8.9981,Clear/Partly Cloudy,Fall,0.1724137931034483,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,58
4614,2011-07-16,3,0,7,3,0,6,0,1,0.6,0.5758,0.78,0.1343,6,20,26,2011,7,16,3,5,1,20.2,22.0028,78.0,8.9981,Clear/Partly Cloudy,Fall,0.23076923076923078,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,26
4615,2011-07-16,3,0,7,4,0,6,0,1,0.6,0.5909,0.73,0.0896,9,7,16,2011,7,16,4,5,1,20.2,22.9994,73.0,6.0032,Clear/Partly Cloudy,Fall,0.5625,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,16
4616,2011-07-16,3,0,7,5,0,6,0,1,0.58,0.5455,0.78,0.0896,4,6,10,2011,7,16,5,5,1,19.259999999999998,20.003,78.0,6.0032,Clear/Partly Cloudy,Fall,0.4,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,10
4617,2011-07-16,3,0,7,6,0,6,0,1,0.6,0.5758,0.78,0.1642,16,21,37,2011,7,16,6,5,1,20.2,22.0028,78.0,11.0014,Clear/Partly Cloudy,Fall,0.43243243243243246,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,37
4618,2011-07-16,3,0,7,7,0,6,0,1,0.62,0.5909,0.73,0.1343,14,38,52,2011,7,16,7,5,1,21.14,22.9994,73.0,8.9981,Clear/Partly Cloudy,Fall,0.2692307692307692,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,52
4619,2011-07-16,3,0,7,8,0,6,0,1,0.66,0.6212,0.65,0.1642,37,90,127,2011,7,16,8,5,1,23.020000000000003,24.999200000000002,65.0,11.0014,Clear/Partly Cloudy,Fall,0.29133858267716534,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,127
4620,2011-07-16,3,0,7,9,0,6,0,1,0.7,0.6515,0.54,0.2239,72,150,222,2011,7,16,9,5,1,24.9,26.998999999999995,54.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.32432432432432434,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,222
4621,2011-07-16,3,0,7,10,0,6,0,1,0.72,0.6667,0.54,0.194,114,208,322,2011,7,16,10,5,1,25.839999999999996,28.002199999999995,54.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.35403726708074534,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,322
4622,2011-07-16,3,0,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,114,225,339,2011,7,16,11,5,1,26.78,28.002199999999995,48.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.336283185840708,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,339
4623,2011-07-16,3,0,7,12,0,6,0,1,0.76,0.6818,0.43,0.2836,114,276,390,2011,7,16,12,5,1,27.72,28.998799999999996,43.0,19.0012,Clear/Partly Cloudy,Fall,0.2923076923076923,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,390
4624,2011-07-16,3,0,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,114,276,390,2011,7,16,13,5,1,27.72,28.998799999999996,45.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.2923076923076923,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,390
4625,2011-07-16,3,0,7,14,0,6,0,1,0.74,0.6667,0.45,0.2985,114,232,346,2011,7,16,14,5,1,26.78,28.002199999999995,45.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.32947976878612717,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,346
4626,2011-07-16,3,0,7,15,0,6,0,1,0.76,0.6818,0.45,0.3284,114,223,337,2011,7,16,15,5,1,27.72,28.998799999999996,45.0,22.0028,Clear/Partly Cloudy,Fall,0.33827893175074186,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,337
4627,2011-07-16,3,0,7,16,0,6,0,1,0.76,0.6818,0.45,0.2836,114,242,356,2011,7,16,16,5,1,27.72,28.998799999999996,45.0,19.0012,Clear/Partly Cloudy,Fall,0.3202247191011236,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,356
4628,2011-07-16,3,0,7,17,0,6,0,1,0.76,0.6818,0.45,0.2239,114,241,355,2011,7,16,17,5,1,27.72,28.998799999999996,45.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.3211267605633803,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,355
4629,2011-07-16,3,0,7,18,0,6,0,1,0.76,0.6818,0.45,0.2836,114,243,357,2011,7,16,18,5,1,27.72,28.998799999999996,45.0,19.0012,Clear/Partly Cloudy,Fall,0.31932773109243695,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,357
4630,2011-07-16,3,0,7,19,0,6,0,1,0.74,0.6818,0.48,0.194,114,242,356,2011,7,16,19,5,1,26.78,28.998799999999996,48.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.3202247191011236,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,356
4631,2011-07-16,3,0,7,20,0,6,0,1,0.72,0.6667,0.51,0.2239,108,188,296,2011,7,16,20,5,1,25.839999999999996,28.002199999999995,51.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.36486486486486486,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,296
4632,2011-07-16,3,0,7,21,0,6,0,1,0.7,0.6515,0.58,0.2239,85,167,252,2011,7,16,21,5,1,24.9,26.998999999999995,57.99999999999999,15.001299999999999,Clear/Partly Cloudy,Fall,0.3373015873015873,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,252
4633,2011-07-16,3,0,7,22,0,6,0,1,0.7,0.6515,0.65,0.2836,65,136,201,2011,7,16,22,5,1,24.9,26.998999999999995,65.0,19.0012,Clear/Partly Cloudy,Fall,0.32338308457711445,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,201
4634,2011-07-16,3,0,7,23,0,6,0,1,0.68,0.6364,0.61,0.2239,61,107,168,2011,7,16,23,5,1,23.96,26.002399999999994,61.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.3630952380952381,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,168
4635,2011-07-17,3,0,7,0,0,0,0,1,0.66,0.6212,0.65,0.2239,34,91,125,2011,7,17,0,6,1,23.020000000000003,24.999200000000002,65.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.272,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,125
4636,2011-07-17,3,0,7,1,0,0,0,1,0.64,0.6061,0.69,0.194,16,86,102,2011,7,17,1,6,1,22.080000000000002,24.0026,69.0,12.998000000000001,Clear/Partly Cloudy,Fall,0.1568627450980392,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,102
4637,2011-07-17,3,0,7,2,0,0,0,1,0.64,0.6061,0.69,0.2239,28,66,94,2011,7,17,2,6,1,22.080000000000002,24.0026,69.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.2978723404255319,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,94
4638,2011-07-17,3,0,7,3,0,0,0,1,0.64,0.6061,0.69,0.2239,21,26,47,2011,7,17,3,6,1,22.080000000000002,24.0026,69.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.44680851063829785,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,47
4639,2011-07-17,3,0,7,4,0,0,0,1,0.62,0.5909,0.73,0.1642,4,6,10,2011,7,17,4,6,1,21.14,22.9994,73.0,11.0014,Clear/Partly Cloudy,Fall,0.4,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,10
4640,2011-07-17,3,0,7,5,0,0,0,1,0.64,0.6061,0.69,0.2239,4,8,12,2011,7,17,5,6,1,22.080000000000002,24.0026,69.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.3333333333333333,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,12
4641,2011-07-17,3,0,7,6,0,0,0,1,0.62,0.5909,0.73,0.1642,10,11,21,2011,7,17,6,6,1,21.14,22.9994,73.0,11.0014,Clear/Partly Cloudy,Fall,0.47619047619047616,Night (0-6),Fall - Clear/Partly Cloudy,Weekend,21
4642,2011-07-17,3,0,7,7,0,0,0,1,0.64,0.6061,0.73,0.1642,20,30,50,2011,7,17,7,6,1,22.080000000000002,24.0026,73.0,11.0014,Clear/Partly Cloudy,Fall,0.4,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,50
4643,2011-07-17,3,0,7,8,0,0,0,1,0.68,0.6364,0.65,0.2239,45,73,118,2011,7,17,8,6,1,23.96,26.002399999999994,65.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.3813559322033898,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,118
4644,2011-07-17,3,0,7,9,0,0,0,1,0.72,0.6667,0.58,0.2239,74,110,184,2011,7,17,9,6,1,25.839999999999996,28.002199999999995,57.99999999999999,15.001299999999999,Clear/Partly Cloudy,Fall,0.40217391304347827,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,184
4645,2011-07-17,3,0,7,10,0,0,0,1,0.74,0.6818,0.6,0.2239,114,177,291,2011,7,17,10,6,1,26.78,28.998799999999996,60.0,15.001299999999999,Clear/Partly Cloudy,Fall,0.3917525773195876,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,291
4646,2011-07-17,3,0,7,11,0,0,0,1,0.76,0.697,0.55,0.2836,114,244,358,2011,7,17,11,6,1,27.72,30.001999999999995,55.00000000000001,19.0012,Clear/Partly Cloudy,Fall,0.31843575418994413,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,358
4647,2011-07-17,3,0,7,12,0,0,0,1,0.76,0.697,0.55,0.2836,114,243,357,2011,7,17,12,6,1,27.72,30.001999999999995,55.00000000000001,19.0012,Clear/Partly Cloudy,Fall,0.31932773109243695,Morning (6-12),Fall - Clear/Partly Cloudy,Weekend,357
4648,2011-07-17,3,0,7,13,0,0,0,1,0.8,0.7424,0.49,0.2985,114,272,386,2011,7,17,13,6,1,29.6,32.9984,49.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.29533678756476683,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,386
4649,2011-07-17,3,0,7,14,0,0,0,1,0.8,0.7424,0.49,0.3582,114,262,376,2011,7,17,14,6,1,29.6,32.9984,49.0,23.9994,Clear/Partly Cloudy,Fall,0.30319148936170215,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,376
4650,2011-07-17,3,0,7,15,0,0,0,1,0.82,0.7424,0.43,0.2985,114,195,309,2011,7,17,15,6,1,30.54,32.9984,43.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.36893203883495146,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,309
4651,2011-07-17,3,0,7,16,0,0,0,1,0.8,0.7273,0.46,0.2985,114,188,302,2011,7,17,16,6,1,29.6,32.001799999999996,46.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.37748344370860926,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,302
4652,2011-07-17,3,0,7,17,0,0,0,1,0.8,0.7424,0.49,0.3881,114,236,350,2011,7,17,17,6,1,29.6,32.9984,49.0,26.0027,Clear/Partly Cloudy,Fall,0.32571428571428573,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,350
4653,2011-07-17,3,0,7,18,0,0,0,1,0.8,0.7273,0.46,0.2985,114,243,357,2011,7,17,18,6,1,29.6,32.001799999999996,46.0,19.999499999999998,Clear/Partly Cloudy,Fall,0.31932773109243695,Afternoon (12-18),Fall - Clear/Partly Cloudy,Weekend,357
4654,2011-07-17,3,0,7,19,0,0,0,1,0.76,0.697,0.55,0.2836,114,234,348,2011,7,17,19,6,1,27.72,30.001999999999995,55.00000000000001,19.0012,Clear/Partly Cloudy,Fall,0.3275862068965517,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,348
4655,2011-07-17,3,0,7,20,0,0,0,1,0.76,0.7121,0.58,0.2537,85,177,262,2011,7,17,20,6,1,27.72,30.998599999999996,57.99999999999999,16.997899999999998,Clear/Partly Cloudy,Fall,0.3244274809160305,Evening (18-24),Fall - Clear/Partly Cloudy,Weekend,262
