instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,is_weekend,temp_actual,atemp_actual,hum_actual,windspeed_actual,weather_desc,season_desc,casual_ratio,season_weather,day_type,check_cnt
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2011,4,9,5,1,8.0975,6.540914000000001,87.75,8.916561,Misty/Cloudy,Summer,0.35804480651731163,Summer - Misty/Cloudy,Weekend,2455
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2011,4,10,6,1,12.053349,12.164641999999997,85.75,9.833389,Misty/Cloudy,Summer,0.41036269430051814,Summer - Misty/Cloudy,Weekend,2895
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2011,4,11,0,0,19.995644,21.304322,71.6956,21.739758,Misty/Cloudy,Summer,0.2553763440860215,Summer - Misty/Cloudy,Regular Working Day,3348
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2011,4,12,1,0,15.617499999999996,16.541564,73.9167,18.416892999999998,Misty/Cloudy,Summer,0.1263520157325467,Summer - Misty/Cloudy,Regular Working Day,2034
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2011,4,13,2,0,11.3875,11.540678,81.91669999999999,16.791338999999997,Misty/Cloudy,Summer,0.09666975023126735,Summer - Misty/Cloudy,Regular Working Day,2162
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2011,4,14,3,0,13.9725,14.540972,54.041700000000006,7.4169,Clear/Partly Cloudy,Summer,0.16192225283134373,Summer - Clear/Partly Cloudy,Regular Working Day,3267
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2011,4,15,4,0,12.993348999999998,13.166258,67.125,15.167124999999999,Clear/Partly Cloudy,Summer,0.2053742802303263,Summer - Clear/Partly Cloudy,Holiday,3126
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,2011,4,16,5,1,12.249151000000001,12.082472,88.83330000000001,22.834136,Light Rain/Snow,Summer,0.15220125786163521,Summer - Light Rain/Snow,Weekend,795
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2011,4,17,6,1,13.463349000000001,13.415935999999999,47.9583,20.334232,Clear/Partly Cloudy,Summer,0.41613247863247865,Summer - Clear/Partly Cloudy,Weekend,3744
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,2011,4,18,0,0,16.0875,17.207636,54.25,10.958988999999999,Clear/Partly Cloudy,Summer,0.19510061242344706,Summer - Clear/Partly Cloudy,Regular Working Day,3429
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,2011,4,19,1,0,15.774151,16.291028000000004,66.5833,10.584057,Misty/Cloudy,Summer,0.12765293383270912,Summer - Misty/Cloudy,Regular Working Day,3204
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,2011,4,20,2,0,19.965,21.249872000000003,61.4167,16.208975,Clear/Partly Cloudy,Summer,0.15542596348884383,Summer - Clear/Partly Cloudy,Regular Working Day,3944
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,2011,4,21,3,0,13.580849,13.956872,40.708299999999994,21.792286,Clear/Partly Cloudy,Summer,0.1778467414657436,Summer - Clear/Partly Cloudy,Regular Working Day,4189
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,2011,4,22,4,0,7.823349,5.248964000000001,72.9583,14.707906999999999,Misty/Cloudy,Summer,0.1051693404634581,Summer - Misty/Cloudy,Regular Working Day,1683
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,2011,4,23,5,1,13.620000000000001,13.707985999999998,88.79169999999999,15.458575000000002,Misty/Cloudy,Summer,0.3622398414271556,Summer - Misty/Cloudy,Weekend,4036
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,2011,4,24,6,1,19.338349,20.416358000000002,81.08330000000001,12.875725000000001,Misty/Cloudy,Summer,0.408017179670723,Summer - Misty/Cloudy,Weekend,4191
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,2011,4,25,0,0,20.513348999999998,21.917,77.6667,12.417311,Clear/Partly Cloudy,Summer,0.18978639823226123,Summer - Clear/Partly Cloudy,Regular Working Day,4073
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,2011,4,26,1,0,21.688349,23.209478000000004,72.9167,21.875500000000002,Clear/Partly Cloudy,Summer,0.15409090909090908,Summer - Clear/Partly Cloudy,Regular Working Day,4400
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,2011,4,27,2,0,21.14,21.959372000000002,83.54169999999999,20.917399999999997,Misty/Cloudy,Summer,0.1412706611570248,Summer - Misty/Cloudy,Regular Working Day,3872
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,2011,4,28,3,0,21.0225,22.209314,70.08330000000001,21.500836000000003,Misty/Cloudy,Summer,0.1402168555938886,Summer - Misty/Cloudy,Regular Working Day,4058
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,2011,4,29,4,0,15.969999999999999,16.832558,45.7083,16.084221,Clear/Partly Cloudy,Summer,0.19107725788900978,Summer - Clear/Partly Cloudy,Regular Working Day,4595
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,2011,4,30,5,1,14.2075,14.625386000000002,50.3333,15.750025,Clear/Partly Cloudy,Summer,0.3699171686746988,Summer - Clear/Partly Cloudy,Weekend,5312
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,2011,5,1,6,1,13.228348999999998,13.581464,76.2083,7.125718,Misty/Cloudy,Summer,0.339600119367353,Summer - Misty/Cloudy,Weekend,3351
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,2011,5,2,0,0,17.810848999999997,19.166978,73.0,12.291418,Misty/Cloudy,Summer,0.19245625994092252,Summer - Misty/Cloudy,Regular Working Day,4401
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,2011,5,3,1,0,20.983348999999997,22.417214,69.7083,22.958689,Misty/Cloudy,Summer,0.1354751741181757,Summer - Misty/Cloudy,Regular Working Day,4451
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2011,5,4,2,0,11.465848999999999,10.706900000000001,73.70830000000001,22.042732,Misty/Cloudy,Summer,0.09684770224078998,Summer - Misty/Cloudy,Regular Working Day,2633
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,2011,5,5,3,0,13.580849,13.166522,44.4167,19.791263999999998,Clear/Partly Cloudy,Summer,0.1385066546356869,Summer - Clear/Partly Cloudy,Regular Working Day,4433
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,2011,5,6,4,0,14.520849000000002,15.291722,59.0,15.292482,Clear/Partly Cloudy,Summer,0.19401041666666666,Summer - Clear/Partly Cloudy,Regular Working Day,4608
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,2011,5,7,5,1,16.44,17.832986,54.125,10.750150000000001,Clear/Partly Cloudy,Summer,0.3419601187950785,Summer - Clear/Partly Cloudy,Weekend,4714
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,2011,5,8,6,1,16.831651,18.249578,63.1667,5.0007125,Clear/Partly Cloudy,Summer,0.32333256404338795,Summer - Clear/Partly Cloudy,Weekend,4333
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,2011,5,9,0,0,17.0275,18.666235999999998,58.875,11.792,Clear/Partly Cloudy,Summer,0.1522237505731316,Summer - Clear/Partly Cloudy,Regular Working Day,4362
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,2011,5,10,1,0,17.0275,18.499586,48.9167,7.749956999999999,Clear/Partly Cloudy,Summer,0.14449302519258797,Summer - Clear/Partly Cloudy,Regular Working Day,4803
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,2011,5,11,2,0,17.4975,18.8744,63.29169999999999,8.083014,Clear/Partly Cloudy,Summer,0.13151602104256338,Summer - Clear/Partly Cloudy,Regular Working Day,4182
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,2011,5,12,3,0,17.145000000000003,18.541958,74.75,12.707689,Clear/Partly Cloudy,Summer,0.14288651315789475,Summer - Clear/Partly Cloudy,Regular Working Day,4864
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,2011,5,13,4,0,16.0875,16.623800000000003,86.33330000000001,12.041575,Misty/Cloudy,Summer,0.16857490864799027,Summer - Misty/Cloudy,Regular Working Day,4105
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,2011,5,14,5,1,16.479150999999998,17.041514,92.25,9.041649999999999,Misty/Cloudy,Summer,0.26459372249926666,Summer - Misty/Cloudy,Weekend,3409
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,2011,5,15,6,1,18.4375,19.376000000000005,86.70830000000001,10.249593,Misty/Cloudy,Summer,0.3474632110696244,Summer - Misty/Cloudy,Weekend,4553
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,2011,5,16,0,0,19.142500000000002,20.333792000000003,78.79169999999999,8.500357000000001,Clear/Partly Cloudy,Summer,0.19530065689742293,Summer - Clear/Partly Cloudy,Regular Working Day,3958
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,2011,5,17,1,0,18.398349,19.542914000000003,83.7917,18.582718,Misty/Cloudy,Summer,0.16444336648071792,Summer - Misty/Cloudy,Regular Working Day,4123
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,2011,5,18,2,0,17.85,18.792428,87.0,13.499964,Misty/Cloudy,Summer,0.1390402075226978,Summer - Misty/Cloudy,Regular Working Day,3855
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,2011,5,19,3,0,16.949151,17.708972000000003,82.9583,7.250271000000001,Misty/Cloudy,Summer,0.16065573770491803,Summer - Misty/Cloudy,Regular Working Day,4575
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,2011,5,20,4,0,17.223349,18.916772,71.9583,8.375871,Clear/Partly Cloudy,Summer,0.18486882245271508,Summer - Clear/Partly Cloudy,Regular Working Day,4917
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,2011,5,21,5,1,20.317500000000003,21.750349999999997,62.6667,8.083549999999999,Clear/Partly Cloudy,Summer,0.38897502153316105,Summer - Clear/Partly Cloudy,Weekend,5805
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,2011,5,22,6,1,20.395849000000002,21.917,74.9583,9.916536,Clear/Partly Cloudy,Summer,0.3381974248927039,Summer - Clear/Partly Cloudy,Weekend,4660
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,2011,5,23,0,0,21.688349,22.959536,81.0,15.667413999999999,Misty/Cloudy,Summer,0.19560131024801122,Summer - Misty/Cloudy,Regular Working Day,4274
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,2011,5,24,1,0,23.020000000000003,23.917658000000003,74.0833,13.875164,Misty/Cloudy,Summer,0.1467052537845058,Summer - Misty/Cloudy,Regular Working Day,4492
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,2011,5,25,2,0,23.059151,24.625772000000005,69.625,10.333611000000001,Clear/Partly Cloudy,Summer,0.14865407794294896,Summer - Clear/Partly Cloudy,Regular Working Day,4978
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,2011,5,26,3,0,25.291651,27.209408000000003,67.75,13.376014,Clear/Partly Cloudy,Summer,0.16206970280094077,Summer - Clear/Partly Cloudy,Regular Working Day,4677
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,2011,5,27,4,0,24.038349000000004,26.042528000000004,65.375,16.125493,Clear/Partly Cloudy,Summer,0.1861508869416542,Summer - Clear/Partly Cloudy,Regular Working Day,4679
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,2011,5,28,5,1,22.824151,24.417014,72.9583,15.416164,Clear/Partly Cloudy,Summer,0.42055485498108447,Summer - Clear/Partly Cloudy,Weekend,4758
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2266,2433,4699,2011,5,29,6,1,23.3725,24.6263,81.875,14.333846,Clear/Partly Cloudy,Summer,0.4822302617578208,Summer - Clear/Partly Cloudy,Weekend,4699
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,2011,5,30,0,0,26.466651,28.292072000000005,68.5,8.792075,Clear/Partly Cloudy,Summer,0.37798926305514885,Summer - Clear/Partly Cloudy,Holiday,4098
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,2011,5,31,1,0,28.425000000000004,31.875278,63.6667,7.459042999999999,Clear/Partly Cloudy,Summer,0.16901054746358612,Summer - Clear/Partly Cloudy,Regular Working Day,3982
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,2011,6,1,2,0,27.915849,31.583822000000005,67.7083,13.875164,Misty/Cloudy,Summer,0.12908907901358832,Summer - Misty/Cloudy,Regular Working Day,3974
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,2011,6,2,3,0,25.604999999999997,26.500172,30.5,19.583229000000003,Clear/Partly Cloudy,Summer,0.14814814814814814,Summer - Clear/Partly Cloudy,Regular Working Day,4968
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,2011,6,3,4,0,21.14,22.750778000000004,35.4167,16.959107,Clear/Partly Cloudy,Summer,0.1690512048192771,Summer - Clear/Partly Cloudy,Regular Working Day,5312
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,2011,6,4,5,1,21.845,23.249935999999998,45.625,8.250514,Clear/Partly Cloudy,Summer,0.34986896293523023,Summer - Clear/Partly Cloudy,Weekend,5342
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,2011,6,5,6,1,22.471651,24.709063999999998,65.25,9.292364000000001,Misty/Cloudy,Summer,0.3434569914390542,Summer - Misty/Cloudy,Weekend,4906
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,2011,6,6,0,0,23.881650999999998,25.042628,60.0,8.167032,Clear/Partly Cloudy,Summer,0.14797713280562885,Summer - Clear/Partly Cloudy,Regular Working Day,4548
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,2011,6,7,1,0,25.252499999999998,27.292700000000004,59.791700000000006,12.583136,Clear/Partly Cloudy,Summer,0.1578729567556383,Summer - Clear/Partly Cloudy,Regular Working Day,4833
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,2011,6,8,2,0,28.464151,32.000414,62.20830000000001,9.166739,Clear/Partly Cloudy,Summer,0.15360145421495114,Summer - Clear/Partly Cloudy,Regular Working Day,4401
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,2011,6,9,3,0,29.991650999999997,34.000214,56.833299999999994,10.042161,Misty/Cloudy,Summer,0.1438058748403576,Summer - Misty/Cloudy,Regular Working Day,3915
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,2011,6,10,4,0,27.485,30.417272000000004,60.5,9.417118,Clear/Partly Cloudy,Summer,0.17771478412559966,Summer - Clear/Partly Cloudy,Regular Working Day,4586
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,2011,6,11,5,1,26.074999999999996,28.750508000000004,65.45830000000001,10.374949999999998,Clear/Partly Cloudy,Summer,0.3481675392670157,Summer - Clear/Partly Cloudy,Weekend,4966
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,2011,6,12,6,1,24.5475,26.459450000000004,74.7917,10.958988999999999,Clear/Partly Cloudy,Summer,0.3289237668161435,Summer - Clear/Partly Cloudy,Weekend,4460
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,2011,6,13,0,0,21.845,23.709164,49.4583,20.45845,Clear/Partly Cloudy,Summer,0.17191235059760956,Summer - Clear/Partly Cloudy,Regular Working Day,5020
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,2011,6,14,1,0,20.395849000000002,23.042036000000003,50.708299999999994,18.041961,Clear/Partly Cloudy,Summer,0.14864035984461255,Summer - Clear/Partly Cloudy,Regular Working Day,4891
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,2011,6,15,2,0,21.453349,22.791764,47.1667,11.250104,Clear/Partly Cloudy,Summer,0.14845559845559844,Summer - Clear/Partly Cloudy,Regular Working Day,5180
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,2011,6,16,3,0,21.531651,23.292836,68.8333,13.833556999999999,Misty/Cloudy,Summer,0.14467746217148925,Summer - Misty/Cloudy,Regular Working Day,3767
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,2011,6,17,4,0,22.510849000000004,23.625278,73.5833,9.582942999999998,Clear/Partly Cloudy,Summer,0.17815854665565647,Summer - Clear/Partly Cloudy,Regular Working Day,4844
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,2011,6,18,5,1,24.743349000000002,26.500964000000003,67.0417,8.000336,Clear/Partly Cloudy,Summer,0.352998632545419,Summer - Clear/Partly Cloudy,Weekend,5119
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,2011,6,19,6,1,24.860849,26.625836,66.6667,6.834,Misty/Cloudy,Summer,0.34548903878583476,Summer - Misty/Cloudy,Weekend,4744
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,2011,6,20,0,0,21.845,23.292836,74.625,10.416825,Misty/Cloudy,Summer,0.1743142144638404,Summer - Misty/Cloudy,Regular Working Day,4010
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,2011,6,21,1,0,23.999151,26.084636000000003,77.0417,11.458675000000001,Misty/Cloudy,Fall,0.16008273009307136,Fall - Misty/Cloudy,Regular Working Day,4835
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,2011,6,22,2,0,26.466651,29.792714000000004,70.75,11.541554,Clear/Partly Cloudy,Fall,0.14666074994453074,Fall - Clear/Partly Cloudy,Regular Working Day,4507
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,2011,6,23,3,0,26.231651,29.792978000000005,70.3333,15.999868,Misty/Cloudy,Fall,0.155741127348643,Fall - Misty/Cloudy,Regular Working Day,4790
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,2011,6,24,4,0,26.035849,27.334478000000004,57.3333,14.875675,Clear/Partly Cloudy,Fall,0.1941494690442797,Fall - Clear/Partly Cloudy,Regular Working Day,4991
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,2011,6,25,5,1,24.665,26.458658,48.3333,14.041257,Clear/Partly Cloudy,Fall,0.34256055363321797,Fall - Clear/Partly Cloudy,Weekend,5202
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,2011,6,26,6,1,23.96,26.083514,51.3333,6.3337311,Clear/Partly Cloudy,Fall,0.36192271442035817,Fall - Clear/Partly Cloudy,Weekend,5305
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,2011,6,27,0,0,24.0775,26.042264000000003,65.8333,7.2083960000000005,Misty/Cloudy,Fall,0.18139337298215802,Fall - Misty/Cloudy,Regular Working Day,4708
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,2011,6,28,1,0,26.975849000000004,29.708827999999997,63.416700000000006,9.666960999999999,Clear/Partly Cloudy,Fall,0.15748709122203097,Fall - Clear/Partly Cloudy,Regular Working Day,4648
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,2011,6,29,2,0,26.231651,27.209408000000003,49.7917,17.542007,Clear/Partly Cloudy,Fall,0.16229665071770336,Fall - Clear/Partly Cloudy,Regular Working Day,5225
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,2011,6,30,3,0,24.743349000000002,26.042528000000004,43.416700000000006,12.415904000000001,Clear/Partly Cloudy,Fall,0.18621940163191297,Fall - Clear/Partly Cloudy,Regular Working Day,5515
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,2011,7,1,4,0,25.957500000000003,27.042692000000002,39.625,6.874736,Clear/Partly Cloudy,Fall,0.23237597911227154,Fall - Clear/Partly Cloudy,Regular Working Day,5362
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,2011,7,2,5,1,26.701651,28.042327999999998,44.4583,7.709154,Clear/Partly Cloudy,Fall,0.4305528423520219,Fall - Clear/Partly Cloudy,Weekend,5119
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2266,2367,4633,2011,7,3,6,1,25.683349,28.125950000000003,68.25,15.333486,Misty/Cloudy,Fall,0.48909993524714007,Fall - Misty/Cloudy,Weekend,4633
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,2266,2978,5244,2011,7,4,0,0,26.153349,27.917522000000005,63.7917,5.4591064000000005,Misty/Cloudy,Fall,0.43211289092295957,Fall - Misty/Cloudy,Holiday,5244
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,2011,7,5,1,0,27.093348999999996,29.958308000000002,59.0417,8.459286,Clear/Partly Cloudy,Fall,0.2210075026795284,Fall - Clear/Partly Cloudy,Regular Working Day,4665
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,2011,7,6,2,0,25.839999999999996,29.251778,74.33330000000001,10.042161,Clear/Partly Cloudy,Fall,0.16936703391661265,Fall - Clear/Partly Cloudy,Regular Working Day,4629
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,2011,7,7,3,0,27.25,29.333486,65.125,10.666400000000001,Clear/Partly Cloudy,Fall,0.16419860627177701,Fall - Clear/Partly Cloudy,Regular Working Day,4592
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,2011,7,8,4,0,25.330849,28.251878000000005,75.79169999999999,15.083643,Misty/Cloudy,Fall,0.1712871287128713,Fall - Misty/Cloudy,Regular Working Day,4040
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,2011,7,9,5,1,26.466651,27.834428000000003,60.9167,11.250104,Clear/Partly Cloudy,Fall,0.37256371814092953,Fall - Clear/Partly Cloudy,Weekend,5336
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,2011,7,10,6,1,27.1325,29.541649999999997,57.8333,12.292557,Clear/Partly Cloudy,Fall,0.35709895513214507,Fall - Clear/Partly Cloudy,Weekend,4881
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,2011,7,11,0,0,27.8375,32.167064,63.5833,18.916579,Clear/Partly Cloudy,Fall,0.17694566813509544,Fall - Clear/Partly Cloudy,Regular Working Day,4086
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,2011,7,12,1,0,29.325848999999998,32.79215,55.9167,13.417017999999999,Clear/Partly Cloudy,Fall,0.15547205260685767,Fall - Clear/Partly Cloudy,Regular Working Day,4258
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,2011,7,13,2,0,27.093348999999996,29.500664,63.1667,9.790911000000001,Clear/Partly Cloudy,Fall,0.17227084292952557,Fall - Clear/Partly Cloudy,Regular Working Day,4342
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,2011,7,14,3,0,23.999151,25.916863999999997,47.625,16.124689,Clear/Partly Cloudy,Fall,0.17466561762391816,Fall - Clear/Partly Cloudy,Regular Working Day,5084
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,2011,7,15,4,0,23.176650999999996,25.208486,59.12500000000001,12.249811,Clear/Partly Cloudy,Fall,0.23799205489346334,Fall - Clear/Partly Cloudy,Regular Working Day,5538
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2266,3505,5771,2011,7,16,5,1,24.273349000000003,26.125358,58.5,13.958914,Clear/Partly Cloudy,Fall,0.39265291977127015,Fall - Clear/Partly Cloudy,Weekend,5771
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,2011,7,17,6,1,25.800849,28.208978000000002,60.4167,16.417211,Clear/Partly Cloudy,Fall,0.3783477932855526,Fall - Clear/Partly Cloudy,Weekend,5302
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,2011,7,18,0,0,27.093348999999996,30.459050000000005,65.125,14.458867999999999,Clear/Partly Cloudy,Fall,0.1886496186630776,Fall - Clear/Partly Cloudy,Regular Working Day,4458
